CO_IES,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,TP_PRES,QE_I01,QE_I02,QE_I04,QE_I05,QE_I07,QE_I08,QE_I09,QE_I11,QE_I12,QE_I13,QE_I15,QE_I16,QE_I17,QE_I21,QE_I22,QE_I23,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
3849,10028,2402,17134,1,1718204,25,F,2010.0,2011.0,1.0,555.0,A,D,B,E,D,A,B,A,A,A,A,17.0,A,A,E,D,6.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,5.0,5.0,3.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,6.0,6.0,3.0,3.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,6.0,5.0,3.0,3.0,2.0
3849,10028,2402,17134,1,1718204,23,F,2011.0,2013.0,1.0,555.0,A,D,C,D,D,A,C,A,A,A,A,17.0,A,B,C,C,6.0,6.0,3.0,6.0,6.0,5.0,5.0,4.0,2.0,3.0,4.0,5.0,4.0,3.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,5.0,6.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,4.0
3849,10028,2402,17134,1,1718204,28,F,2009.0,2013.0,1.0,555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3849,10028,2402,17134,1,1718204,26,M,2009.0,2012.0,1.0,555.0,A,D,B,E,A,A,F,A,F,D,A,17.0,A,A,D,C,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0
3849,10028,2402,17134,1,1718204,22,F,2012.0,2013.0,1.0,555.0,A,C,B,D,A,A,D,A,A,A,A,17.0,A,B,C,C,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,4.0
3849,10028,2402,17134,1,1718204,31,M,2003.0,2013.0,1.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3849,10028,2402,17134,1,1718204,24,F,2010.0,2011.0,1.0,555.0,A,A,B,B,E,B,B,A,A,D,A,17.0,A,B,E,C,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0
3849,10028,2402,17134,1,1718204,28,M,2011.0,2013.0,1.0,555.0,A,D,A,B,E,C,C,A,A,A,D,17.0,A,B,C,E,6.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,2.0,5.0,6.0,3.0,4.0,5.0,5.0,4.0,5.0,6.0,6.0,5.0,4.0,4.0,1.0,6.0,6.0,5.0,5.0,4.0,5.0,2.0,3.0,3.0,5.0,5.0,6.0,5.0,1.0
3849,10028,2402,17134,1,1718204,23,F,2011.0,2012.0,1.0,555.0,A,B,B,D,C,B,B,A,A,A,A,17.0,A,B,E,B,5.0,5.0,4.0,4.0,5.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,5.0,3.0,6.0,4.0,5.0,2.0,6.0,7.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,4.0,4.0,3.0,4.0,6.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0
3849,10028,2402,17134,1,1718204,38,F,2005.0,2013.0,1.0,555.0,A,A,B,B,E,A,B,A,A,A,A,17.0,A,B,C,C,6.0,6.0,5.0,6.0,3.0,3.0,5.0,5.0,5.0,4.0,6.0,5.0,4.0,4.0,5.0,6.0,2.0,3.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,4.0,1.0
3849,10028,2402,17134,1,1718204,28,F,2007.0,2012.0,1.0,555.0,B,A,B,D,D,A,B,A,A,A,A,17.0,A,A,C,C,3.0,1.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,4.0,1.0,3.0,4.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,6.0,6.0,3.0,3.0,5.0,4.0,3.0,6.0,4.0,4.0,4.0,5.0,1.0,4.0,3.0,4.0,6.0,6.0,1.0
3849,10028,2402,17134,1,1718204,23,F,2011.0,2012.0,1.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3849,10028,2402,17134,1,1718204,32,M,2003.0,2005.0,4.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3849,10028,2402,17134,1,1718204,27,F,2008.0,2010.0,4.0,555.0,E,D,B,E,B,B,E,A,A,A,A,17.0,A,A,C,D,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,7.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0
3849,10028,2402,17134,1,1718204,31,M,2004.0,2009.0,4.0,555.0,E,D,B,B,E,B,C,A,A,A,A,17.0,A,B,B,B,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,7.0,7.0,5.0,4.0,3.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0
3849,10028,2402,17134,1,1718204,33,M,2003.0,2010.0,4.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3849,10028,2402,17134,1,1718204,36,M,2006.0,2007.0,4.0,555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3849,10028,2402,17134,1,1718204,25,M,2011.0,2012.0,4.0,555.0,A,D,A,A,F,A,B,A,E,F,A,17.0,A,B,E,E,5.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,6.0,5.0,1.0,1.0,1.0,5.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,6.0,3.0,1.0
3849,10028,2402,17134,1,1718204,25,F,2012.0,2013.0,4.0,555.0,B,A,A,B,D,A,B,A,A,A,A,17.0,A,B,D,C,6.0,6.0,5.0,6.0,6.0,3.0,5.0,6.0,5.0,5.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,3.0,7.0,7.0,5.0,4.0,4.0,5.0,6.0,7.0,1.0,7.0,5.0,3.0,5.0,5.0,7.0,3.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0,5.0
3849,10028,2402,17134,1,1718204,26,F,2008.0,2009.0,4.0,555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3849,10028,2402,17134,1,1718204,25,F,2009.0,2010.0,4.0,555.0,A,D,B,B,H,B,E,A,A,A,A,17.0,A,B,B,C,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,2.0
3849,10028,2402,17134,1,1718204,22,F,2012.0,2013.0,4.0,555.0,A,B,B,D,E,B,E,A,A,A,A,17.0,A,A,E,B,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,5.0,6.0,5.0,6.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0
3849,10028,2402,17134,1,1718204,29,F,2007.0,2011.0,4.0,555.0,A,B,B,B,H,B,E,A,A,A,F,17.0,A,B,E,B,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,8.0,6.0,8.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,8.0,4.0,8.0,6.0,8.0,6.0,8.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,8.0
3849,10028,2402,17134,1,1718204,32,F,2005.0,2011.0,4.0,555.0,A,B,B,A,B,A,B,A,A,A,A,17.0,A,B,D,D,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,5.0,6.0,6.0,6.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0
3849,10028,2402,17134,1,1718204,21,F,2012.0,2013.0,4.0,555.0,A,A,D,B,C,A,B,A,A,C,A,17.0,A,A,E,E,6.0,5.0,3.0,5.0,6.0,5.0,6.0,6.0,5.0,4.0,3.0,5.0,5.0,8.0,3.0,5.0,6.0,6.0,6.0,6.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,8.0,6.0,4.0,6.0,4.0,5.0,2.0,8.0,8.0,8.0,4.0,6.0,5.0,8.0,4.0
3849,10028,2402,17134,1,1718204,40,F,1997.0,2011.0,4.0,555.0,A,B,B,B,F,B,D,A,A,F,A,17.0,A,B,E,B,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,7.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,7.0,6.0
3849,10028,2402,17134,1,1718204,31,M,2011.0,2012.0,4.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3849,10028,2402,17134,1,1718204,28,F,2006.0,2012.0,4.0,555.0,E,A,B,D,E,A,B,A,E,D,A,17.0,A,A,D,B,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0
3849,10028,2402,17134,1,1718204,32,F,2005.0,2012.0,4.0,555.0,E,B,A,B,E,B,E,A,A,D,A,17.0,A,B,D,B,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,4.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,4.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0
3849,10028,2402,17134,1,1718204,29,M,2005.0,2012.0,4.0,555.0,B,F,A,B,H,C,F,A,E,A,A,17.0,A,B,C,B,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,3.0,4.0,6.0,6.0,3.0,6.0,6.0,5.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,2.0,8.0,2.0,8.0,8.0,6.0,6.0,6.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,2.0,6.0
3849,10028,2402,17134,1,1718204,37,F,2003.0,2012.0,4.0,555.0,A,C,B,B,B,B,F,A,A,A,A,17.0,A,A,C,B,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,7.0,5.0,6.0,6.0,5.0,5.0,7.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,7.0,6.0,5.0,5.0
3849,10028,2402,17134,1,1718204,23,F,2011.0,2013.0,4.0,555.0,A,B,C,D,D,A,B,A,A,B,B,17.0,A,A,B,C,4.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,4.0,6.0,4.0,6.0,5.0,5.0,4.0,6.0,6.0,6.0,6.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0,6.0,6.0,5.0
3849,10028,2402,17134,1,1718204,50,F,2003.0,2011.0,4.0,555.0,A,B,B,B,A,A,F,A,A,A,A,52.0,A,B,D,D,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
3849,10028,2402,17134,1,1718204,50,M,1991.0,2011.0,4.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
